name,artist,genre
Something's Got A Hold On Me,Etta James,soul-blues
Corinna,Taj Mahal,soul-blues
Lay Lady Lay featuring Anthony Hamilton and Robert Randolph,Buddy Guy,soul-blues
Papa's Got A Brand New Bag,James Brown,soul-blues
It's My Own Fault Baby,B.B. King,soul-blues
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,soul-blues
The Man,Aloe Blacc,soul-blues
Johnny B. Goode,Johnny Winter,soul-blues
Honey Bee,Stevie Ray Vaughan,soul-blues
Send It On,D'Angelo,soul-blues
The Tracks Of My Tears,Smokey Robinson & The Miracles,soul-blues
Pray For Me,Anthony Hamilton,soul-blues
I Want You,Marvin Gaye,soul-blues
Young Hearts Run Free,Candi Staton,soul-blues
I Just Want To Make Love To You,Etta James,soul-blues
Days of Old,Eric Clapton,soul-blues
Across 110th Street,Bobby Womack,soul-blues
Ball of Confusion (That's What the World Is Today),The Temptations,soul-blues
I Used To Love Him,Ms. Lauryn Hill,soul-blues
The Right Time,Ray Charles,soul-blues
Midnight in Harlem,Tedeschi Trucks Band,soul-blues
Please Send Me Someone To Love,B.B. King,soul-blues
Cold Day In Hell,Gary Moore,soul-blues
"Maybe So, Maybe No",Mayer Hawthorne,soul-blues
Celebration,Kool & The Gang,soul-blues
Got To Give It Up,Marvin Gaye,soul-blues
Got The Bottle Up And Gone,Sonny Boy Williamson II,soul-blues
Blame It on the Boogie,The Jacksons,soul-blues
I Feel for You,Chaka Khan,soul-blues
Alberta,Eric Clapton,soul-blues
Trouble Man,Marvin Gaye,soul-blues
Mustang Sally,Wilson Pickett,soul-blues
Last Fair Deal Gone Down,Robert Johnson,soul-blues
I Can't Stand the Rain,Ann Peebles,soul-blues
St James Infirmary,Hugh Laurie,soul-blues
As,Stevie Wonder,soul-blues
Everyday People,Sly & The Family Stone,soul-blues
I Want You Back,The Jackson 5,soul-blues
Call Me The Breeze,J.J. Cale,soul-blues
Didn't I Blow Your Mind This Time,The Delfonics,soul-blues
When It Hurts So Bad,Ms. Lauryn Hill,soul-blues
St. Louis Slim,Seasick Steve,soul-blues
You Done Lost Your Good Thing Now,B.B. King,soul-blues
Midnight Special,Lead Belly,soul-blues
Stoned Love,The Supremes,soul-blues
Bright Lights,Gary Clark Jr.,soul-blues
It's Nobody's Fault But Mine,Blind Willie Johnson,soul-blues
I Got The Feelin',James Brown,soul-blues
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,soul-blues
I'm Ready,Muddy Waters,soul-blues
Strawberry Letter 23,The Brothers Johnson,soul-blues
The Wind Cries Mary,Jimi Hendrix,soul-blues
Life by the Drop,Stevie Ray Vaughan,soul-blues
I Say a Little Prayer,Aretha Franklin,soul-blues
Land of 1000 Dances,Wilson Pickett,soul-blues
Cocaine,J.J. Cale,soul-blues
Blowin' In The Wind,Stevie Wonder,soul-blues
Smiling Faces Sometimes,The Undisputed Truth,soul-blues
Lonely Avenue,Ray Charles,soul-blues
It's Your Thing,The Isley Brothers,soul-blues
I'm So Glad,Skip James,soul-blues
Running On Faith,Eric Clapton,soul-blues
Heaven Must Have Sent You,The Elgins,soul-blues
The Weight,Aretha Franklin,soul-blues
Mean Red Spider,Muddy Waters,soul-blues
I Ain't Drunk,Albert Collins,soul-blues
Am I Wrong,Keb' Mo',soul-blues
It Serves You Right To Suffer,John Lee Hooker,soul-blues
Let The Music Play,Barry White,soul-blues
Hideaway,John Mayall & The Bluesbreakers,soul-blues
Say What!,Stevie Ray Vaughan,soul-blues
Sir Duke,Stevie Wonder,soul-blues
Boogie Woogie Woman,B.B. King,soul-blues
Got My Mojo Working,Muddy Waters,soul-blues
Sugar Mama,Sonny Boy Williamson II,soul-blues
I Got The...,Labi Siffre,soul-blues
I Wish,Stevie Wonder,soul-blues
Wake up Everybody (feat. Common & Melanie Fiona),John Legend,soul-blues
Believe Ill Dust My Broom,Robert Johnson,soul-blues
Walkin' The Dawg,Tony Spinner,soul-blues
Jesus Just Left Chicago,ZZ Top,soul-blues
Forty Four,Howlin' Wolf,soul-blues
Crossfire,Stevie Ray Vaughan,soul-blues
Fast Car,Tracy Chapman,soul-blues
I'll Be Your Man,The Black Keys,soul-blues
Malted Milk,Robert Johnson,soul-blues
Footsteps In the Dark,The Isley Brothers,soul-blues
Walk On By,Dionne Warwick,soul-blues
How Blue Can You Get?,B.B. King,soul-blues
Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight & The Pips,soul-blues
I Can't Be Satisfied,Muddy Waters,soul-blues
Help The Poor,B.B. King,soul-blues
Do The Do,Howlin' Wolf,soul-blues
I Never Loved a Man (The Way I Love You),Aretha Franklin,soul-blues
Kiss,Prince,soul-blues
Master Blaster (Jammin'),Stevie Wonder,soul-blues
Theme From Shaft,Isaac Hayes,soul-blues
Ramblin' On My Mind,John Mayall & The Bluesbreakers,soul-blues
Twistin' the Night Away,Sam Cooke,soul-blues
Dancing In The Street,Martha Reeves & The Vandellas,soul-blues
Who's Lovin' You,The Jackson 5,soul-blues
Have You Ever Loved A Woman,Freddie King,soul-blues
Ex-Factor,Ms. Lauryn Hill,soul-blues
I Got The Cross The River Jordan,Blind Willie McTell,soul-blues
Freddie's Dead,Curtis Mayfield,soul-blues
Build Me up Buttercup (Re-Recorded),The Foundations,soul-blues
Black Mud,The Black Keys,soul-blues
Mercy,Duffy,soul-blues
I've Got a Woman,Ray Charles,soul-blues
"Troubles, Troubles, Troubles",B.B. King,soul-blues
Stand by Me,Otis Redding,soul-blues
Lady Marmalade,Patti LaBelle,soul-blues
Stay With You,John Legend,soul-blues
All Over Again,B.B. King,soul-blues
Crying Won't Help You,B.B. King,soul-blues
Get Up I Feel Like Being A Sex Machine,James Brown,soul-blues
I'll Be There,The Jackson 5,soul-blues
La-La Means I Love You,The Delfonics,soul-blues
Wake up Everybody,Harold Melvin & The Blue Notes,soul-blues
Drunken Hearted Man,Robert Johnson,soul-blues
Meet Me in the City,Junior Kimbrough,soul-blues
Long Tall Sally,Little Richard,soul-blues
Albert's Shuffle,Al Kooper,soul-blues
The Thrill Is Gone,B.B. King,soul-blues
Stang's Swang,Stevie Ray Vaughan,soul-blues
I Asked For Water,Howlin' Wolf,soul-blues
Little Wing,Jimi Hendrix,soul-blues
How Sweet It Is (To Be Loved By You),Marvin Gaye,soul-blues
Lady,D'Angelo,soul-blues
Leave My Wife Alone,John Lee Hooker,soul-blues
Life Without You,Stevie Ray Vaughan,soul-blues
Built For Comfort,Howlin' Wolf,soul-blues
Don't Owe You a Thang,Gary Clark Jr.,soul-blues
Appletree,Erykah Badu,soul-blues
I Forgot To Be Your Lover,William Bell,soul-blues
Midnight Train to Georgia,Gladys Knight & The Pips,soul-blues
When Love Comes To Town,U2,soul-blues
Never Trust A Woman,B.B. King,soul-blues
Pride and Joy,Stevie Ray Vaughan,soul-blues
Between the Sheets,The Isley Brothers,soul-blues
Let's Get It On,Marvin Gaye,soul-blues
You Are The Sunshine Of My Life,Stevie Wonder,soul-blues
Long Way from Home,The Vaughan Brothers,soul-blues
Kiss from a Rose,Seal,soul-blues
White Room,Cream,soul-blues
What's Happening Brother,Marvin Gaye,soul-blues
Next Lifetime,Erykah Badu,soul-blues
Purple Rain,Prince,soul-blues
Lie To Me,Jonny Lang,soul-blues
Hurt,Johnny Cash,soul-blues
Getting Late,Floetry,soul-blues
Sitting On Top Of The World,Howlin' Wolf,soul-blues
Close to You,Muddy Waters,soul-blues
Living For The City,Stevie Wonder,soul-blues
Please Mr. Postman,The Marvelettes,soul-blues
Big Mama's Door,Alvin Youngblood Hart,soul-blues
Before You Accuse Me,Eric Clapton,soul-blues
Going Up The Country,Canned Heat,soul-blues
Oliver James,Fleet Foxes,soul-blues
Ladies,Lee Fields & The Expressions,soul-blues
When You Got a Good Friend,Robert Johnson,soul-blues
Blurred Lines,Robin Thicke,soul-blues
Car Wash,Rose Royce,soul-blues
You've Really Got A Hold On Me,Smokey Robinson & The Miracles,soul-blues
A House Is Not a Home,Luther Vandross,soul-blues
"Yester-Me, Yester-You, Yesterday",Stevie Wonder,soul-blues
No Love,Erykah Badu,soul-blues
This Old Heart Of Mine (Is Weak For You),The Isley Brothers,soul-blues
Lenny,Stevie Ray Vaughan,soul-blues
Three Times A Lady,Commodores,soul-blues
Mary Had a Little Lamb,Stevie Ray Vaughan,soul-blues
I'm a Steady Rollin' Man,Robert Johnson,soul-blues
Bad Luck,B.B. King,soul-blues
I Shot The Sheriff,Eric Clapton,soul-blues
Street Life,Randy Crawford,soul-blues
The Sky Is Crying,Stevie Ray Vaughan,soul-blues
What A Wonderful World,Louis Armstrong,soul-blues
"Worry, Worry, Worry",B.B. King,soul-blues
Young Fashioned Ways,Muddy Waters,soul-blues
Love Train,The O'Jays,soul-blues
Use Me,Bill Withers,soul-blues
Howlin' For My Darlin',Howlin' Wolf,soul-blues
True Lies,Kenny Wayne Shepherd,soul-blues
Give Me Just a Little More Time,Chairmen Of The Board,soul-blues
Baby What You Want Me To Do,Jimmy Reed,soul-blues
Ah Yeah,Robert Glasper Experiment,soul-blues
Stone Crazy,Buddy Guy,soul-blues
Stand By Me,Ben E. King,soul-blues
P.Y.T. (Pretty Young Thing),Michael Jackson,soul-blues
Get Ready,The Temptations,soul-blues
Sally Mae,John Lee Hooker,soul-blues
Champagne & Reefer,Muddy Waters,soul-blues
Couldn't Stand the Weather,Stevie Ray Vaughan,soul-blues
Nightcall,Kavinsky,soul-blues
Boom Boom,John Lee Hooker,soul-blues
Pusherman,Curtis Mayfield,soul-blues
Nothing Can Change This Love,Sam Cooke,soul-blues
Just The Way You Are,Barry White,soul-blues
Fa-Fa-Fa-Fa-Fa (Sad Song),Otis Redding,soul-blues
Could It Be I'm Falling in Love,The Spinners,soul-blues
Good Times,CHIC,soul-blues
Never Gonna Give You Up,Barry White,soul-blues
Sweet Little Angel,B.B. King,soul-blues
