name,artist,genre
"Carmen, Act II: No.16 bis Récit: Enfin c'est toi! (Carmen/Don JosÚ) No.17 Duo: Je vais danser en votre honneur! (Carmen)",Angela Gheorghiu,classical-opera
"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30/1",Felix Mendelssohn,classical-opera
"Offenbach: Les Contes d'Hoffmann, Act 4: ""Belle nuit, ô nuit d'amour"" (Barcarolle) [Nicklausse, Giulietta, Chorus]",Jacques Offenbach,classical-opera
Caruso,Lucio Dalla,classical-opera
"Andrea Chénier / Act 4: ""Come un bel dì di maggio""",Umberto Giordano,classical-opera
Carmina Burana: O Fortuna,Janice Watson/James Bowman/Donald Maxwell/Bournemouth Symphony Chorus/Waynflete Singers/Highcliffe Junior Choir/Bournemouth Symphony Orchestra/David Hill,classical-opera
"Mozart: Le nozze di Figaro, Act 2: ""Porgi amor qualche ristoro"" (La Contessa)",Wolfgang Amadeus Mozart,classical-opera
There Must Be An Angel Playing With My Heart,David Allen Stewart,classical-opera
"Grieg / Orch. Kleven: 12 Songs, Op. 33: IX. Ved Rundarne",Edvard Grieg,classical-opera
Adversary,Christina Vantzou,classical-opera
"Tehillim, Pt. III (Slow)",Steve Reich,classical-opera
Il barbiere di Siviglia (The Barber of Seville): Act I Cavatina: Largo al factotum della citta (Figaro),Gioachino Rossini,classical-opera
Time To Say Goodbye (Con Te Partirò),Lucio Quarantotto,classical-opera
Messiah,George Frideric Handel,classical-opera
End Title,Thomas Newman,classical-opera
Turandot / Act 3: Nessun dorma!,Giacomo Puccini,classical-opera
Rhapsody in Blue,George Gershwin,classical-opera
"Leoncavallo: Pagliacci, Act 2 Scene 2: ""O Colombina, il tenero"" (Arlecchino, Colombina)",Ruggero Leoncavallo,classical-opera
Vivo Per Lei,Valerio Zelli,classical-opera
"Don Giovanni: Act I, Scene VI, ""Batti, batti, o bel Masetto, Pace, pace o vita mia"" (Aria)",Dame Joan Sutherland,classical-opera
Fantasia on a Theme by Thomas Tallis,Ralph Vaughan Williams,classical-opera
"Aida / Act 1: ""Celeste Aida""",Giuseppe Verdi,classical-opera
Symphony of Monody,Mehdi Hosseini,classical-opera
Thumri Bhairavin,Bismillah Khan,classical-opera
"Bizet: Carmen, WD 31, Act 1 Scene 10: No. 10, Séguedille et Duo, ""Près des remparts de Séville"" (Carmen, Don José)",Georges Bizet,classical-opera
The Firebird Suite *: Introduction,Igor Stravinsky,classical-opera
"Napoli, FP 40: II. Nocturne",Francis Poulenc,classical-opera
I Capuleti e i Montecchi: Eccomi in lieta vesta / Act 1: E serbato a questo acciaro,Vincenzo Bellini,classical-opera
Sleeping Lotus,Joep Beving,classical-opera
Symphony No.5 In C Sharp Minor: 4. Adagietto (Sehr langsam),Gustav Mahler,classical-opera
Piano Sonata No.2: 4. Vif,Pierre Boulez,classical-opera
"L'elisir d'amore / Act 2: ""Una furtiva lagrima""",Gaetano Donizetti,classical-opera
Hungarian Rhapsody No. 2,Franz Liszt,classical-opera
"London, 1988",Jóhann Jóhannsson,classical-opera
"Serse, HWV 40 / Act 1: ""Ombra mai fu""",George Frideric Handel,classical-opera
"Rachmaninoff: 14 Romances, Op. 34: XIV. Vocalise (Lentamente molto cantabile)",Sergei Rachmaninoff,classical-opera
"Symphony No.9 in D minor, Op.125",Ludwig van Beethoven,classical-opera
Por Ti Seré,Rolf Løvland,classical-opera
"Carmen, Act I, No.9 Chanson et Mèlodrame: Récit: Où me conduirez-vous? (Carmen/Don José)",Angela Gheorghiu,classical-opera
Loretto,Rachel Grimes,classical-opera
"Nocturne in E-Flat Major, Op. 9, No.2",Frédéric Chopin,classical-opera
"Partita No. 1 in B-Flat Major, BWV 825: II. Allemande",Johann Sebastian Bach,classical-opera
"Wagner: Die Walküre, WWV 86B, Act 3: Walkürenritt (Concert Version. Lebhaft)",Richard Wagner,classical-opera
Ave Maria,Sarah Brightman,classical-opera
Carnival of the Animals: XIII. Le Cygne (The Swan),Camille Saint-Saëns,classical-opera
"Puccini: La Bohème, Act 3: ""Dunque è proprio finita!""",Giacomo Puccini,classical-opera
"Mozart: Piano Concerto No. 23 in A Major, K. 488: I. Allegro",Wolfgang Amadeus Mozart,classical-opera
Mr. Holmes,Carter Burwell,classical-opera
Musica Proibita,Beniamino Gigli,classical-opera
"Préludes, Op. 28, No. 15 in D-Flat Major: Prélude, Op. 28 No. 15 in D-Flat Major",Frédéric Chopin,classical-opera
"Verdi: Aida, Act 4: ""Già i sacerdoti adunansi"" (Amneris, Radamès)",Giuseppe Verdi,classical-opera
"Il Barbiere di Siviglia, '(The) Barber of Seville': Una voce poco fa",Gioachino Rossini,classical-opera
"Carmen, Act I: No.3 bis Récit: C'est bien là, n'est-ce pas? (Zuniga/Don José)",Nicolas Cavallier,classical-opera
"Má vlast (My Country): No. 2, Vltava [Moldau]",Bedřich Smetana,classical-opera
Concerto n°5 en Ré majeur BWV 1050: II. Affettuoso,Johann Sebastian Bach,classical-opera
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Johannes Brahms,classical-opera
The Tsar's Bride (1995 Digital Remaster): Lyubasha's Aria: You wil pay,Nikolai Rimsky-Korsakov,classical-opera
"Verdi: Aida, Act 3: ""Traditor!....La mia rival!"" (Amneris, Aida, Amonasro, Radamès, Ramfis)",Giuseppe Verdi,classical-opera
"Toccata And Fugue In D Minor, BWV 565",Leopold Stokowski,classical-opera
"Music for Strings, Percussion and Celesta, Sz. 106, BB 114: II. Allegro con grazia",Béla Bartók,classical-opera
"The Planets, Op. 32: Jupiter, the Bringer of Jollity",Gustav Holst,classical-opera
Mass for 3 Voices: Mass for 3 Voices: Sanctus,William Byrd,classical-opera
Warsaw Concerto,Richard Addinsell,classical-opera
"Debussy: Suite bergamasque, L. 82: III. Clair de lune",Claude Debussy,classical-opera
"Fedora / Act 2: ""Amor ti vieta""",Umberto Giordano,classical-opera
"Berceuse In D Flat, Op.57",Frédéric Chopin,classical-opera
Clarinet Concertino: Concertino for Clarinet and String Orchestra,Nicola LeFanu,classical-opera
Quando m' en vo' soletta from La bohème,Kiri Te Kanawa,classical-opera
"Bellini: I puritani, Act 1 Scene 5: Cavatina, ""A te, o cara, amor talora"" (Arturo)",Vincenzo Bellini,classical-opera
"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",George Frideric Handel,classical-opera
"Symphony No.2 in D, Op.36: 3. Scherzo (Allegro)",Ludwig van Beethoven,classical-opera
Granada,Agustin Lara,classical-opera
Because We Believe,David Foster,classical-opera
"Piano Concerto, Op.13: 3. Impromptu",Benjamin Britten,classical-opera
Etude 1,Nico Muhly,classical-opera
Concerto for Orchestra (after Marco Polo): IV. The Forbidden City,Tan Dun,classical-opera
"La Bohème / Act 3: ""Donde lieta uscì""",Giacomo Puccini,classical-opera
"Hungarian Dance No.5 In G Minor, WoO 1 No. 5",Johannes Brahms,classical-opera
