name,artist,genre
Outlands,Daft Punk,soundtracks
The Hunger Games,James Newton Howard,soundtracks
Scorponok,Steve Jablonsky,soundtracks
One Simple Idea,Hans Zimmer,soundtracks
Dernhelm in Battle,Howard Shore,soundtracks
Cold,Aqualung,soundtracks
The Game Has Changed,Daft Punk,soundtracks
Mutant and Proud,Henry Jackman,soundtracks
A Familiar Taste,Trent Reznor and Atticus Ross,soundtracks
The Chalice Passed,Howard Shore,soundtracks
Rue's Farewell,James Newton Howard,soundtracks
Rectifier,Daft Punk,soundtracks
Northern Lights,Cider Sky,soundtracks
Jack Sparrow,Hans Zimmer,soundtracks
Alice's Theme,Danny Elfman,soundtracks
Hindi Sad Diamonds,John Leguizamo,soundtracks
Pas si simple,Yann Tiersen,soundtracks
The Road to Isengard,Howard Shore,soundtracks
"Main Title (From ""Superman"")",John Williams,soundtracks
Horn Of Plenty,James Newton Howard,soundtracks
Your Song,Ewan McGregor,soundtracks
Rinzler,Daft Punk,soundtracks
See You Tomorrow,John Powell,soundtracks
To Zuccabar,Hans Zimmer,soundtracks
Treason,Christophe Beck,soundtracks
Romantic Flight,John Powell,soundtracks
Patricide,Hans Zimmer,soundtracks
End of Line,Daft Punk,soundtracks
A Far Green Country,Howard Shore,soundtracks
I've Got a Dream,Mandy Moore,soundtracks
Do You Want to Build a Snowman?,Kristen Bell,soundtracks
Coconut,Harry Nilsson,soundtracks
The Houses of Healing (feat. Liv Tyler),Howard Shore,soundtracks
Una Mattina,Ludovico Einaudi,soundtracks
Dream Within a Dream,Hans Zimmer,soundtracks
The Batman Theme,Danny Elfman,soundtracks
Sorrow,Lisa Gerrard,soundtracks
Derezzed,Daft Punk,soundtracks
Healing Katniss,James Newton Howard,soundtracks
The Medallion Calls,Klaus Badelt,soundtracks
The Palantír,Howard Shore,soundtracks
Whiteout,Christophe Beck,soundtracks
Married Life,Michael Giacchino,soundtracks
Blood Ritual,Klaus Badelt,soundtracks
Progeny,Hans Zimmer,soundtracks
Personality Goes A Long Way,John Travolta,soundtracks
"Love Theme From ""The Godfather""",Nino Rota,soundtracks
Leaving Netherfield,Jean-Yves Thibaudet,soundtracks
Arrival to Earth,Steve Jablonsky,soundtracks
Circle of Life,Carmen Twillie,soundtracks
Performance Issues,Alan Silvestri,soundtracks
When Will My Life Begin?,Mandy Moore,soundtracks
The Ecstasy Of Gold,Ennio Morricone,soundtracks
Mutiny,Hans Zimmer,soundtracks
Game Of Thrones,Ramin Djawadi,soundtracks
World of Warcraft: Seasons of War,Jason Hayes,soundtracks
The Living Sculptures Of Pemberley,English Chamber Orchestra,soundtracks
Mount Doom (feat. Renée Fleming),Howard Shore,soundtracks
A Thousand Years,Christina Perri,soundtracks
Waiting for a Train,Hans Zimmer,soundtracks
Barbossa Is Hungry,Klaus Badelt,soundtracks
The Eagles (feat. Renée Fleming),Howard Shore,soundtracks
I Am The Doctor (feat. The BBC National Orchestra of Wales),Murray Gold,soundtracks
Turning Page,Sleeping At Last,soundtracks
Courtyard Apocalypse,Alexandre Desplat,soundtracks
The Great Thaw (Vuelie Reprise),Christophe Beck,soundtracks
Up Is Down,Hans Zimmer,soundtracks
La valse des vieux os,Yann Tiersen,soundtracks
Nightcall,Kavinsky,soundtracks
New For You,Reeve Carney,soundtracks
Booby Trap,James Newton Howard,soundtracks
The Might of Rome,Hans Zimmer,soundtracks
Elephant Love Medley,Nicole Kidman,soundtracks
Raiders March,John Williams,soundtracks
The Wheat,Lisa Gerrard,soundtracks
"Honor (Main Title Theme from ""The Pacific"")",Hans Zimmer,soundtracks
The Avengers,Alan Silvestri,soundtracks
Only The Beginning of The Adventure,Harry Gregson-Williams,soundtracks
Wolves,Christophe Beck,soundtracks
Grand Theft Auto IV: Soviet Connection,Michael Hunter,soundtracks
Tenuous Winners/Returning Home,James Newton Howard,soundtracks
"Flying Theme (From ""E.T. the Extra-Terrestrial"")",John Williams,soundtracks
"The Sacrifice of Faramir (feat. Billy Boyd Performing ""The Edge of Night"")",Howard Shore,soundtracks
Vuelie,Christophe Beck,soundtracks
The Heart Asks Pleasure First / The Promise,Michael Nyman,soundtracks
What Is This Feeling?,Stephen Schwartz,soundtracks
In Summer,Josh Gad,soundtracks
Extraction Point,Hans Zimmer,soundtracks
La noyée,Yann Tiersen,soundtracks
Winter,The London Ensemble,soundtracks
Elsa and Anna,Christophe Beck,soundtracks
Gathering all the Na'vi clans for battle,James Horner,soundtracks
Palm Tree Escape,Hans Zimmer,soundtracks
The Wardrobe,Harry Gregson-Williams,soundtracks
Sweet Disposition,The Temper Trap,soundtracks
Angel Band,The Stanley Brothers,soundtracks
528491,Hans Zimmer,soundtracks
TRON Legacy (End Titles),Daft Punk,soundtracks
Into the West,Annie Lennox,soundtracks
Meryton Townhall,Jean-Yves Thibaudet,soundtracks
She's Got You High,Mumm-ra,soundtracks
Nocturne,Daft Punk,soundtracks
There Is a Light That Never Goes Out,The Smiths,soundtracks
Bumblebee,Steve Jablonsky,soundtracks
The Tower of Cirith Ungol,Howard Shore,soundtracks
Les jours tristes,Yann Tiersen,soundtracks
Under the Stars,Hans Zimmer,soundtracks
Uncharted,Greg Edmonson,soundtracks
Preparing The Chariots,James Newton Howard,soundtracks
Halo 3: One Final Effort,Martin O'Donnell,soundtracks
Recognizer,Daft Punk,soundtracks
He's a Pirate,Klaus Badelt,soundtracks
Mrs Darcy,English Chamber Orchestra,soundtracks
Fixer Upper,Maia Wilson,soundtracks
Solar Sailer,Daft Punk,soundtracks
Dwimorberg,Howard Shore,soundtracks
Freedom Fighters,Thomas Bergersen,soundtracks
The Fire Rises,Hans Zimmer,soundtracks
Forbidden Friendship,John Powell,soundtracks
Requiem for a Tower,London Music Works,soundtracks
Your Hands Are Cold,Jean-Yves Thibaudet,soundtracks
Diamond Dogs,Beck,soundtracks
Defying Gravity,Stephen Schwartz,soundtracks
Tia Dalma,Hans Zimmer,soundtracks
Fairytale,"Harry Gregson-Williams, John Powell",soundtracks
Return to Arendelle,Christophe Beck,soundtracks
Complainte De La Butte,Rufus Wainwright,soundtracks
Shawshank Prison,Thomas Newman,soundtracks
Flynn Lives,Daft Punk,soundtracks
"Theme from ""Batman: The Dark Knight""",Movie Sounds Unlimited,soundtracks
The Lighting of the Beacons,Howard Shore,soundtracks
The Antidote,St. Vincent,soundtracks
Now We Are Free,Lisa Gerrard,soundtracks
Call of Duty 4,Harry Gregson-Williams,soundtracks
Frenzy,Steve Jablonsky,soundtracks
Mass Effect 3: a Future For the Krogan/An End Once and For All,Sarah Covey,soundtracks
Jungle Boogie,Kool & The Gang,soundtracks
End Credits,Hans Zimmer,soundtracks
Can You Feel the Love Tonight,Joseph Williams,soundtracks
The Mouth of Sauron (feat. Sir James Galway),Howard Shore,soundtracks
Jake enters his avatar world,James Horner,soundtracks
Down in Mexico,The Coasters,soundtracks
Slaves To Rome,Hans Zimmer,soundtracks
Shelob the Great,Howard Shore,soundtracks
A quai,Yann Tiersen,soundtracks
Sparkling Diamonds,Nicole Kidman,soundtracks
Any Other Name,Thomas Newman,soundtracks
Stuck In The Middle With You,Stealers Wheel,soundtracks
Arena,Daft Punk,soundtracks
Sur le fil,Yann Tiersen,soundtracks
Intriguing Possibilities,Trent Reznor and Atticus Ross,soundtracks
Radical Notion,Hans Zimmer,soundtracks
Earth to Asgard,Patrick Doyle,soundtracks
"""You don't dream in cryo. ....""",James Horner,soundtracks
Truman Sleeps,Philip Glass,soundtracks
Maximus,Hans Zimmer,soundtracks
Children Of The Revolution,Bono,soundtracks
A Whole New World (Aladdin's Theme),Peabo Bryson,soundtracks
Death Is the Road to Awe (feat. Kronos Quartet),Clint Mansell,soundtracks
