name,artist,genre
To Plant a Seed,We Came As Romans,metal
Under a Funeral Moon,Darkthrone,metal
Brood of Hatred,Suffocation,metal
Revel In Flesh,Entombed,metal
Cosmic Sea,Death,metal
A Fine Day To Die,Bathory,metal
Zero Tolerance,Death,metal
Incarnated Solvent Abuse,Carcass,metal
About That Life,Attila,metal
When Life Has Ceased,Entombed,metal
Cursed Realms of the Winterdemons,Immortal,metal
Open The Gates,Dark Funeral,metal
Miles Away,Memphis May Fire,metal
Starting Over,Killswitch Engage,metal
Divisions,August Burns Red,metal
The Last in Line,Dio,metal
What If I Was Nothing,All That Remains,metal
Arise,Sepultura,metal
Spell of Destruction,Burzum,metal
My Dark Desires,Dark Funeral,metal
Distortion Sleep,Soilwork,metal
Ben Threw,Of Mice & Men,metal
Burnin' For You,Blue Öyster Cult,metal
Nemesis,Arch Enemy,metal
Mouth for War,Pantera,metal
Pinball Map,In Flames,metal
Begin,Parkway Drive,metal
Burn In Hell,Dimmu Borgir,metal
Devilizer,Vader,metal
Decrystallizing Reason,Emperor,metal
Taking The World By Storm,Kataklysm,metal
Jealousy,Death,metal
Black Seeds of Vengeance,Nile,metal
Laid to Rest,Lamb of God,metal
Mammoth,The Devil Wears Prada,metal
An Eternity Of Lies,Paradise Lost,metal
Hordes Of War,Immortal,metal
The Victim,Memphis May Fire,metal
Embodiment,Carcass,metal
Feeble Screams from Forests Unknown,Burzum,metal
Nordbundet,Taake,metal
Cowboys from Hell,Pantera,metal
Hospital for Souls,Bring Me The Horizon,metal
Master Of Disharmony,Dimmu Borgir,metal
Rock You Like A Hurricane,Scorpions,metal
Love Hurts,Nazareth,metal
Phoenix,Veil Of Maya,metal
I Cum Blood,Cannibal Corpse,metal
Wild Eyes,Parkway Drive,metal
"At Least Give Me My Dreams Back, You Negligent Whore!",Adept,metal
Monument,Miss May I,metal
Solar Flare Homicide,Emmure,metal
Heroes And Tombs,At The Gates,metal
Hans Siste Vinter,Darkthrone,metal
The End Complete,Obituary,metal
Myr,Taake,metal
Leviathan I,Parkway Drive,metal
Stillborn,Black Label Society,metal
Allegiance,Dimmu Borgir,metal
The Sadness Will Never End,Bring Me The Horizon,metal
Erblicket Die Tochter Des Firmaments,Burzum,metal
Find the Arise,Obituary,metal
Nothing Is Everything,Death,metal
Inis Mona,Eluveitie,metal
Silvester Anfang,Mayhem,metal
The Fox and the Wolf (feat. Josh Scogin),Bring Me The Horizon,metal
4 Words (To Choke Upon),Bullet For My Valentine,metal
Evil Spells,Morbid Angel,metal
Out Of Touch,Death,metal
You've Got Another Thing Comin',Judas Priest,metal
Don't Go (feat. Lights),Bring Me The Horizon,metal
The Escape Artist,August Burns Red,metal
My Journey to the Stars,Burzum,metal
Rainbow in the Dark,Dio,metal
Machine,Born Of Osiris,metal
"Silent Night, Bodom Night",Children Of Bodom,metal
Answers,Miss May I,metal
Where The Dead Ships Dwell,In Flames,metal
Blood Hunger Doctrine,Dimmu Borgir,metal
Living Monstrosity,Death,metal
Cryptic Winterstorms,Immortal,metal
Sanctified with Dynamite,Powerwolf,metal
Wild Child,W.A.S.P.,metal
Damnation,Morbid Angel,metal
All These Things I Hate (Revolve Around Me),Bullet For My Valentine,metal
The Nexus,Amaranthe,metal
Journey To The End,Windir,metal
Storm the Sorrow,Epica,metal
Mutilation,Death,metal
The Burning Shadows Of Silence,Emperor,metal
No Dreams Breed In Breathless Sleep,Dissection,metal
Hunting High And Low,Stratovarius,metal
