name,artist,genre
Someone Like You,Adele,singer-songwriter
Mexico,James Taylor,singer-songwriter
Angel,Sarah McLachlan,singer-songwriter
Guaranteed,Eddie Vedder,singer-songwriter
Situations,Jack Johnson,singer-songwriter
Fire and Rain,James Taylor,singer-songwriter
I Will Remember You,Sarah McLachlan,singer-songwriter
Proserpina,Martha Wainwright,singer-songwriter
"Hinnom, TX",Bon Iver,singer-songwriter
Violin,Amos Lee,singer-songwriter
Hey There Delilah,Plain White T's,singer-songwriter
My Favourite Faded Fantasy,Damien Rice,singer-songwriter
"If You Want To Sing Out, Sing Out",Yusuf / Cat Stevens,singer-songwriter
Everywhere I Go,Lissie,singer-songwriter
Only Love,Ben Howard,singer-songwriter
Darling Be Home Soon,The Lovin' Spoonful,singer-songwriter
The Crime,Noughts And Exes,singer-songwriter
Do You Know Me,John Mayer,singer-songwriter
Please Don't Say You Love Me,Gabrielle Aplin,singer-songwriter
Volcano,Damien Rice,singer-songwriter
Windows Are Rolled Down,Amos Lee,singer-songwriter
So Real,Jeff Buckley,singer-songwriter
I Love You But You're Dead,Mark Eitzel,singer-songwriter
Tenerife Sea,Ed Sheeran,singer-songwriter
Long Time Comin',John Hiatt,singer-songwriter
People Help the People,Birdy,singer-songwriter
These Waters,Ben Howard,singer-songwriter
I'm Gonna Find Another You,John Mayer,singer-songwriter
Here We Are,Patrick Park,singer-songwriter
All My Friends,Tony Lucca,singer-songwriter
Feelin' Alright,Joe Cocker,singer-songwriter
Parliament Of Rooks,Ed Harcourt,singer-songwriter
Somebody To Break Your Heart,Robyn Hitchcock,singer-songwriter
American Pie,Don McLean,singer-songwriter
Grace for Saints and Ramblers,Iron & Wine,singer-songwriter
All I Wanna Do,Sheryl Crow,singer-songwriter
The Fear,Ben Howard,singer-songwriter
Dogs,Damien Rice,singer-songwriter
"Flightless Bird, American Mouth",Iron & Wine,singer-songwriter
For Emma,Bon Iver,singer-songwriter
"You Need Me, I Don't Need You",Ed Sheeran,singer-songwriter
Morning Song,The Avett Brothers,singer-songwriter
For the Summer,Ray LaMontagne,singer-songwriter
Running on Empty,Jackson Browne,singer-songwriter
Waltz #2 (XO),Minnie Driver,singer-songwriter
Gimme What You Got,Matt White,singer-songwriter
Who You Love,John Mayer,singer-songwriter
Johnny Blue Horizon,Jonathan Edwards,singer-songwriter
I Hope That I Don't Fall In Love With You,Tom Waits,singer-songwriter
"Lay, Lady, Lay",Bob Dylan,singer-songwriter
Every Single Night,Fiona Apple,singer-songwriter
Beautiful Diana,Steve Forbert,singer-songwriter
Sail Away,David Gray,singer-songwriter
I Will Return,J. Tillman,singer-songwriter
How It Goes,A Nighthawk,singer-songwriter
"Friends, Lovers or Nothing",John Mayer,singer-songwriter
Burn,Ray LaMontagne,singer-songwriter
Be OK,Ingrid Michaelson,singer-songwriter
"Look What They've Done To My Song, Ma",Melanie,singer-songwriter
Blindsided,Bon Iver,singer-songwriter
Oats In The Water,Ben Howard,singer-songwriter
